IDTransaction;Date;TransactionType;Symbol;Unit;
2655354102;27/09/2024 18:31:40;SELL;ARDX;84;
2817437027;26/01/2024 08:02:19;SELL;FNC;84;
2657094107;18/06/2024 16:30:42;BUY;ARDX;83;
2751207709;25/06/2024 13:31:27;SELL;ARDX;83;
2659411204;02/07/2024 14:30:29;BUY;ARDX;82;
2655778109;09/01/2024 08:02:29;SELL;AMX;82;
2609683598;03/09/2024 15:48:48;SELL;ARDX;82;
2650896465;15/02/2024 14:38:26;BUY;ARDX;81;
2632227996;16/02/2024 14:30:22;SELL;ARDX;81;
2632426148;14/06/2024 14:30:14;BUY;BAP;80;
2640933931;18/06/2024 14:24:25;SELL;BAP;80;
2699915249;11/06/2024 14:17:13;BUY;BAP;75;
2793369385;14/06/2024 07:15:10;SELL;BAP;75;
2650898567;09/04/2024 15:10:44;BUY;LTOUF;74;
2644919407;16/04/2024 13:30:16;SELL;TEL;74;
2631806188;28/02/2024 14:42:05;BUY;LTOUF;73;
2631015256;08/03/2024 17:53:48;SELL;TEL;73;
2623931900;11/03/2024 14:14:51;BUY;LTOUF;71;
2627096045;01/04/2024 13:30:20;SELL;TEL;71;
2634447770;07/02/2024 15:17:46;BUY;FNC;69;
2622343684;13/02/2024 09:01:04;SELL;FNC;69;
2634935990;02/04/2024 15:18:18;BUY;ASX;68;
2699075600;12/04/2024 13:30:12;SELL;ASX;68;
2632222005;12/04/2024 14:12:31;BUY;ASC;67;
2628507183;17/04/2024 13:37:39;SELL;ASX;67;
2695620555;11/03/2024 13:31:35;BUY;ARDX;63;
2606492014;11/03/2024 19:50:55;SELL;ARDX;63;
2688239769;16/04/2024 13:58:59;BUY;PAGS;62;
2623272210;15/03/2024 19:46:48;BUY;ARDX;62;
2693763684;29/04/2024 15:46:24;SELL;PAGS;62;
2622803676;15/03/2024 19:48:19;SELL;ARDX;62;
2638373660;14/03/2024 14:52:22;BUY;ARDX;61;
2687641487;18/04/2024 13:30:18;SELL;ARDX;61;
2691814779;10/10/2024 15:22:07;BUY;IMMR;60;
2653836079;11/01/2024 14:40:12;BUY;TRN;60;
2856852800;15/04/2024 16:14:10;BUY;PAGS;60;
2629410400;14/10/2024 14:52:41;SELL;IMMR;60;
2833423866;16/01/2024 08:03:27;SELL;TRN;60;
2623959941;16/04/2024 13:30:16;SELL;PAGS;60;
2712446168;10/04/2024 19:03:05;BUY;PAGS;58;
2689244804;16/08/2024 17:35:30;BUY;DESP;58;
2650897248;22/02/2024 14:56:56;BUY;ARDX;58;
2620407371;12/11/2024 19:00:37;BUY;IMMR;58;
2693009030;20/02/2024 17:18:33;BUY;ARDX;58;
2626991662;15/04/2024 16:00:26;SELL;PAGS;58;
2624377750;06/09/2024 14:29:03;SELL;DESP;58;
2628736901;23/02/2024 14:30:17;SELL;ARDX;58;
2624680211;20/11/2024 18:28:08;SELL;IMMR;58;
2599579619;22/02/2024 14:49:37;SELL;ARDX;58;
2888698060;09/01/2024 15:11:23;BUY;HTGC;57;
2691811332;12/01/2024 15:13:17;SELL;HTGC;57;
2596411354;05/01/2024 14:54:34;BUY;FNC;56;
2623273340;29/01/2024 08:00:24;BUY;FNC;56;
2793363496;20/02/2024 15:30:39;BUY;ARDX;56;
2588989408;23/02/2024 16:41:40;BUY;ARDX;56;
2893660400;10/04/2024 13:37:18;BUY;PAGS;56;
2875762794;13/02/2024 20:14:36;BUY;ARDX;56;
2678623419;09/01/2024 15:40:23;SELL;FNC;56;
2676826054;07/02/2024 09:13:04;SELL;FNC;56;
2628818974;20/02/2024 16:39:01;SELL;ARDX;56;
2678624895;23/02/2024 17:51:08;SELL;ARDX;56;
2740088056;10/04/2024 19:01:50;SELL;PAGS;56;
2770671877;14/02/2024 14:36:42;SELL;ARDX;56;
2718603055;16/02/2024 16:43:56;BUY;ARDX;55;
2611535553;10/01/2024 14:36:08;BUY;FNC;55;
2659818223;14/02/2024 14:37:33;BUY;ARDX;55;
2680941968;05/04/2024 14:07:15;BUY;PAGS;55;
2687645111;20/02/2024 15:00:09;SELL;ARDX;55;
2762394354;15/01/2024 14:23:54;SELL;FNC;55;
2856852026;14/02/2024 17:03:46;SELL;ARDX;55;
2775299259;10/04/2024 13:30:19;SELL;PAGS;55;
2782821670;02/04/2024 15:22:23;BUY;PAGS;54;
2623597259;04/04/2024 15:08:54;SELL;PAGS;54;
2623863876;15/01/2024 15:41:15;BUY;FNC;53;
2680934515;19/11/2024 20:02:13;BUY;STNE;53;
2709713681;19/01/2024 11:01:46;SELL;FNC;53;
2693534969;22/11/2024 20:11:27;SELL;STNE;53;
2732935241;26/03/2024 13:30:17;BUY;PAGS;52;
2607797870;06/03/2024 20:56:59;BUY;ARDX;52;
2669638969;29/11/2024 17:05:55;BUY;STNE;52;
2875757958;26/03/2024 14:29:23;SELL;PAGS;52;
2725158153;11/03/2024 13:30:12;SELL;ARDX;52;
2641611940;16/04/2024 14:10:18;BUY;LTOUF;51;
2742592971;19/04/2024 19:46:37;SELL;TEL;51;
2614062678;24/06/2024 13:54:33;BUY;LTOUF;50;
2608928490;01/04/2024 18:56:11;BUY;LTOUF;50;
2607812853;15/02/2024 08:31:16;BUY;FNC;50;
2875765318;02/08/2024 14:42:04;BUY;LTOUF;50;
2739377371;03/07/2024 13:30:09;SELL;TEL;50;
2720441400;04/04/2024 18:30:02;SELL;TEL;50;
2587932091;15/02/2024 14:41:33;SELL;FNC;50;
2634463309;27/08/2024 19:13:39;SELL;TEL;50;
2888704561;25/09/2024 16:37:47;BUY;LTOUF;49;
2699075111;16/02/2024 08:21:59;BUY;FNC;49;
2605662536;09/10/2024 13:30:08;SELL;TEL;49;
2891151352;20/02/2024 09:31:54;SELL;FNC;49;
2678635295;20/02/2024 15:44:13;BUY;FNC;48;
2606417895;05/03/2024 14:57:47;BUY;ASC;48;
2770672956;24/10/2024 14:55:00;BUY;LTOUF;48;
2689241131;27/02/2024 12:43:52;SELL;FNC;48;
2689242505;06/03/2024 17:03:02;SELL;ASX;48;
2853639479;20/11/2024 14:30:05;SELL;TEL;48;
2775809417;11/03/2024 14:15:29;BUY;ASC;47;
2607229752;13/02/2024 20:12:26;BUY;ASC;47;
2630684214;01/04/2024 13:30:29;SELL;ASX;47;
2622182169;20/02/2024 14:45:25;SELL;ASX;47;
2627099953;16/10/2024 13:43:31;BUY;LTOUF;46;
2623870607;20/02/2024 15:31:38;BUY;ASC;46;
2603421600;21/02/2024 16:26:28;BUY;ASC;46;
2623953285;27/02/2024 15:02:42;BUY;FNC;46;
2838581358;16/08/2024 17:39:58;BUY;IMMR;46;
2680374991;23/10/2024 13:30:08;SELL;TEL;46;
2665348137;21/02/2024 14:56:11;SELL;ASX;46;
2833467104;01/03/2024 14:38:18;SELL;ASX;46;
2619451724;01/03/2024 10:36:24;SELL;FNC;46;
2790360128;25/04/2024 19:44:36;BUY;ASC;45;
2621432410;04/03/2024 08:42:19;BUY;FNC;45;
2719863269;08/10/2024 14:28:18;BUY;ASC;45;
2709714922;30/04/2024 13:57:51;BUY;ASC;45;
2793379076;13/11/2024 14:34:36;BUY;STNE;45;
2616844029;09/01/2024 15:08:47;BUY;TIMB;45;
2842296058;11/03/2024 13:39:47;BUY;FNC;45;
2815474380;12/03/2024 13:31:02;BUY;FNC;45;
2618253309;10/10/2024 15:21:27;BUY;STNE;45;
2802361675;29/04/2024 14:52:38;SELL;ASX;45;
2787477812;06/03/2024 08:10:29;SELL;FNC;45;
2855787837;18/10/2024 13:30:09;SELL;ASX;45;
2664899495;08/08/2024 15:46:24;SELL;ASX;45;
2827351767;13/11/2024 14:52:33;SELL;STNE;45;
2665776903;10/01/2024 14:40:34;SELL;TIMB;45;
2775300460;12/03/2024 10:22:46;SELL;FNC;45;
2592613979;13/03/2024 15:26:25;SELL;FNC;45;
2649376314;28/10/2024 15:39:22;SELL;STNE;45;
2652315370;08/07/2024 17:07:13;BUY;LTOUF;44;
2640982009;11/01/2024 14:36:58;BUY;TIMB;44;
2659454793;06/03/2024 09:04:35;BUY;FNC;44;
2612543840;01/08/2024 13:30:32;SELL;TEL;44;
2693762817;11/01/2024 14:45:34;SELL;TIMB;44;
2655767134;11/03/2024 12:55:06;SELL;FNC;44;
2587823226;13/02/2024 19:56:29;BUY;ACN;43;
2633160836;14/03/2024 19:36:05;BUY;RYAAY;43;
2650899240;10/04/2024 12:42:37;BUY;FNC;43;
2588652104;20/12/2024 16:36:23;BUY;LTOUF;43;
2637091463;14/02/2024 15:49:02;SELL;RYAAY;43;
2626491488;30/05/2024 15:05:15;SELL;ESTC;43;
2768309358;16/04/2024 07:00:33;SELL;FNC;43;
2622804451;18/03/2024 16:14:41;BUY;FNC;42;
2624676776;14/03/2024 08:27:15;BUY;FNC;42;
2833407165;10/01/2024 14:50:22;BUY;TIMB;42;
2648583855;22/03/2024 08:00:22;SELL;FNC;42;
2611526755;14/03/2024 13:26:03;SELL;FNC;42;
2622210228;10/01/2024 15:29:09;SELL;TIMB;42;
2888696737;25/07/2024 13:36:04;BUY;DESP;41;
2628508455;05/12/2024 16:17:35;BUY;LTOUF;41;
2830421351;09/04/2024 10:00:12;BUY;FNC;41;
2740089149;28/02/2024 16:40:06;BUY;HTGC;41;
2888699328;16/08/2024 17:35:12;SELL;DESP;41;
2612686625;17/12/2024 15:13:21;SELL;TEL;41;
2877450749;10/04/2024 08:43:56;SELL;FNC;41;
2802365058;04/03/2024 20:54:11;SELL;HTGC;41;
2699916282;02/04/2024 07:10:44;BUY;FNC;40;
2890342768;25/03/2024 08:26:36;BUY;FNC;40;
2652311204;09/04/2024 07:43:15;SELL;FNC;40;
2626512571;26/03/2024 12:18:06;SELL;FNC;40;
2695619535;01/05/2024 14:07:57;BUY;HTGC;39;
2607799868;21/02/2024 19:37:58;BUY;RYAAY;39;
2802363793;21/08/2024 17:06:59;BUY;PAGS;39;
2647578858;08/05/2024 14:00:33;BUY;DESP;39;
2599448230;13/06/2024 13:46:32;BUY;STNE;39;
2599672027;26/06/2024 19:56:01;BUY;DESP;39;
2649378586;06/05/2024 19:34:08;SELL;HTGC;39;
2853879979;22/02/2024 15:45:24;SELL;ESTC;39;
2742592652;22/08/2024 13:32:13;SELL;PAGS;39;
2635445858;20/05/2024 13:30:45;SELL;DESP;39;
2628505696;09/07/2024 14:03:41;SELL;STNE;39;
2853638594;27/06/2024 15:04:52;SELL;DESP;39;
2656894995;29/05/2024 13:58:23;BUY;IBE;38;
2782825545;05/03/2024 14:56:56;BUY;RYAAY;38;
2669637220;08/05/2024 14:02:15;BUY;IBE;38;
2640993994;23/07/2024 07:50:47;SELL;IBE;38;
2725163453;05/03/2024 15:58:44;SELL;ESTC;38;
2656882069;16/05/2024 07:00:17;SELL;IBE;38;
2680939523;24/07/2024 18:45:19;BUY;IMMR;37;
2701534579;05/03/2024 20:31:42;BUY;RYAAY;37;
2678622229;01/02/2024 16:18:51;BUY;RYAAY;37;
2853636211;21/02/2024 14:52:47;BUY;RYAAY;37;
2843839153;22/02/2024 16:21:10;BUY;RYAAY;37;
2710640615;16/08/2024 17:39:42;SELL;IMMR;37;
2730470625;06/03/2024 14:35:32;SELL;ESTC;37;
2634832052;02/02/2024 14:30:22;SELL;ESTC;37;
2718486714;21/02/2024 15:08:00;SELL;ESTC;37;
2695621810;26/02/2024 14:35:07;SELL;ESTC;37;
2835506262;01/03/2024 15:00:03;BUY;RYAAY;36;
2687674591;14/06/2024 14:06:24;BUY;DESP;36;
2644917688;05/04/2024 14:08:31;BUY;AGO.l;36;
2782798512;05/03/2024 14:30:33;SELL;ESTC;36;
2687649924;17/07/2024 13:30:36;SELL;DESP;36;
2879466192;25/04/2024 07:00:02;SELL;AGO.l;36;
2643945945;08/02/2024 14:49:08;BUY;RYAAY;35;
2752653358;28/05/2024 19:23:16;BUY;STNE;35;
2616716325;13/02/2024 14:38:04;BUY;RYAAY;35;
2853640281;06/02/2024 14:52:51;BUY;TIMB;35;
2606693614;18/03/2024 15:03:13;BUY;PAGS;35;
2676814111;20/03/2024 13:32:25;BUY;PAGS;35;
2890350162;09/02/2024 17:12:12;SELL;ESTC;35;
2608925440;10/12/2024 16:54:45;SELL;STNE;35;
2603770515;13/02/2024 19:07:13;SELL;ESTC;35;
2752656384;06/02/2024 15:06:06;SELL;TIMB;35;
2607212236;19/03/2024 14:19:41;SELL;PAGS;35;
2629263253;22/03/2024 13:30:25;SELL;PAGS;35;
2671195319;18/04/2024 07:37:29;BUY;FNC;34;
2833486412;23/05/2024 18:41:05;BUY;DESP;34;
2616671143;17/05/2024 19:14:38;BUY;STNE;34;
2674681935;08/02/2024 18:08:03;BUY;TIMB;34;
2768312109;06/02/2024 15:07:09;BUY;TIMB;34;
2645699532;23/04/2024 14:53:03;SELL;FNC;34;
2619113266;28/05/2024 13:35:01;SELL;DESP;34;
2600345370;22/05/2024 13:30:12;SELL;STNE;34;
2710589322;08/02/2024 20:49:59;SELL;TIMB;34;
2856854262;06/02/2024 15:08:07;SELL;TIMB;34;
2616467389;15/05/2024 15:24:00;BUY;STNE;33;
2623282699;09/02/2024 14:44:56;BUY;TIMB;33;
2599495578;05/01/2024 15:38:43;BUY;OBDC;33;
2617840649;26/03/2024 19:57:13;BUY;ARDX;33;
2709715497;16/02/2024 20:54:47;BUY;RYAAY;33;
2591446992;02/07/2024 14:29:38;SELL;STNE;33;
2680941221;09/02/2024 14:45:46;SELL;TIMB;33;
2599595057;14/03/2024 18:55:58;SELL;OBDC;33;
2607230715;17/04/2024 19:55:38;SELL;ARDX;33;
2689244229;21/02/2024 14:30:14;SELL;PHVS;33;
2775804928;16/04/2024 14:09:11;BUY;OBDC;32;
2592886032;28/05/2024 15:32:39;BUY;DESP;32;
2588199358;19/04/2024 19:46:00;SELL;OBDC;32;
2709715861;25/07/2024 13:35:37;SELL;DESP;32;
2739291884;01/02/2024 14:52:17;BUY;TIMB;31;
2827387969;05/02/2024 14:31:03;SELL;TIMB;31;
2752655075;16/04/2024 14:07:54;BUY;MDT;30;
2626856081;13/02/2024 20:16:48;BUY;ASC;30;
2591800739;14/03/2024 14:52:57;BUY;RYAAY;30;
2746390685;20/05/2024 14:27:00;BUY;BVN;30;
2623284535;16/04/2024 13:54:57;BUY;FNC;30;
2666335456;05/01/2024 08:01:12;SELL;FNC;30;
2829179035;19/04/2024 19:46:07;SELL;ETN;30;
2736982607;15/02/2024 14:31:11;SELL;ASC;30;
2726253068;14/03/2024 15:47:48;SELL;PHVS;30;
2813794314;04/06/2024 08:03:10;SELL;BVN;30;
2617587802;18/04/2024 07:32:58;SELL;FNC;30;
2622216399;16/02/2024 16:43:05;BUY;RIG;29;
2678641233;05/01/2024 15:54:40;BUY;HTGC;29;
2623280708;05/02/2024 15:55:37;BUY;TIMB;29;
2669622984;26/02/2024 14:30:10;SELL;RIG;29;
2623913602;09/01/2024 14:31:26;SELL;HTGC;29;
2782784012;05/02/2024 19:33:17;SELL;TIMB;29;
2620662530;25/06/2024 14:13:53;BUY;OSCR;28;
2751210800;08/05/2024 14:04:01;BUY;CCAP;28;
2740144176;18/03/2024 15:03:26;BUY;STNE;28;
2620127494;30/04/2024 14:43:46;BUY;MDT;28;
2656880758;01/02/2024 16:23:26;BUY;FNC;28;
2650905802;08/08/2024 15:02:39;SELL;OSCR;28;
2623260196;13/05/2024 14:35:02;SELL;CCAP;28;
2752652170;17/05/2024 14:30:24;SELL;STNE;28;
2631176417;07/02/2024 09:08:03;SELL;FNC;28;
2855788992;25/01/2024 15:12:54;BUY;AZM;27;
2709709784;19/12/2024 15:04:39;BUY;BRFS;27;
2752651582;22/03/2024 18:54:11;BUY;TIMB;27;
2689242929;30/01/2024 15:56:31;BUY;RYAAY;27;
2726255238;26/02/2024 14:51:34;BUY;RYAAY;27;
2837395212;13/02/2024 19:56:03;BUY;APP;27;
2611337209;05/03/2024 14:58:50;BUY;HTGC;27;
2718607765;07/03/2024 15:20:55;BUY;RYAAY;27;
2746389572;31/01/2024 15:58:14;SELL;AZM;27;
2817436046;30/12/2024 14:30:09;SELL;BRFS;27;
2607798398;01/04/2024 19:00:41;SELL;TIMB;27;
2769919890;01/02/2024 16:00:05;SELL;PHVS;27;
2608584508;27/02/2024 15:40:14;SELL;PHVS;27;
2607224438;19/04/2024 19:46:30;SELL;HTGC;27;
2618215271;08/03/2024 15:56:25;SELL;PHVS;27;
2612809901;13/11/2024 14:32:09;BUY;HTGC;26;
2691812279;22/02/2024 08:00:09;BUY;AZM;26;
2609793174;28/02/2024 15:35:32;BUY;ACN;26;
2599577790;12/02/2024 08:07:19;BUY;AZM;26;
2602958795;02/02/2024 08:20:55;BUY;VWS;26;
2617678383;26/02/2024 14:48:08;BUY;HTGC;26;
2736710995;13/03/2024 16:15:46;BUY;RYAAY;26;
2853635526;16/08/2024 17:44:55;BUY;HTGC;26;
2709713189;21/11/2024 20:55:02;SELL;HTGC;26;
2747048728;06/03/2024 09:55:36;SELL;AZM;26;
2607218769;01/03/2024 14:38:30;SELL;PHVS;26;
2802359903;19/02/2024 09:18:26;SELL;AZM;26;
2861936796;02/02/2024 13:30:02;SELL;VWS;26;
2725603952;28/02/2024 15:08:33;SELL;HTGC;26;
2793371290;14/03/2024 13:30:07;SELL;PHVS;26;
2879463432;18/09/2024 17:24:32;SELL;HTGC;26;
2665755389;01/04/2024 16:38:44;BUY;LTOUF;25;
2596415876;12/11/2024 18:56:36;BUY;HTGC;25;
2833397545;09/02/2024 17:30:57;BUY;ACN;25;
2879462594;09/05/2024 13:59:22;BUY;HTGC;25;
2725824176;05/08/2024 19:21:47;BUY;INTC;25;
2775816335;24/01/2024 14:30:38;BUY;VWS;25;
2658150419;07/08/2024 17:26:03;BUY;BRFS;25;
2623930559;04/04/2024 18:18:19;SELL;TEL;25;
2657095823;13/11/2024 14:30:08;SELL;HTGC;25;
2768311236;13/02/2024 14:30:15;SELL;PHVS;25;
2653840457;08/07/2024 13:47:09;SELL;HTGC;25;
2781416468;22/08/2024 15:43:11;SELL;INTC;25;
2782818291;02/02/2024 08:00:05;SELL;VWS;25;
2751205557;19/08/2024 13:35:23;SELL;BRFS;25;
2655989794;19/04/2024 19:56:06;BUY;ACN;24;
2643034326;02/05/2024 17:14:32;BUY;ASC;24;
2659414800;28/05/2024 19:21:42;BUY;ACN;24;
2636386766;01/02/2024 16:17:52;BUY;APP;24;
2736058748;02/08/2024 14:39:01;BUY;INTC;24;
2632719682;14/11/2024 18:42:02;BUY;BRFS;24;
2890349023;03/09/2024 17:57:53;BUY;INTC;24;
2679864393;05/01/2024 15:30:30;BUY;TIMB;24;
2746389815;02/08/2024 14:43:59;BUY;ACN;24;
2843453846;15/02/2024 14:39:42;BUY;ACN;24;
2589073553;25/04/2024 13:30:11;SELL;RYAAY;24;
2591631733;08/08/2024 16:31:52;SELL;ASX;24;
2589188100;16/07/2024 14:06:19;SELL;PHVS;24;
2793364384;02/02/2024 20:55:47;SELL;APP;24;
2623930317;05/08/2024 13:38:48;SELL;INTC;24;
2775809035;19/11/2024 15:50:41;SELL;BRFS;24;
2596412223;04/09/2024 14:00:25;SELL;INTC;24;
2670910240;08/01/2024 14:46:26;SELL;TIMB;24;
2687650464;07/08/2024 14:08:57;SELL;PHVS;24;
2890341742;16/02/2024 15:01:54;SELL;PHVS;24;
2762397481;15/03/2024 16:24:32;BUY;AGO.l;23;
2601683615;12/04/2024 14:14:02;BUY;TIMB;23;
2718578615;13/11/2024 14:54:14;BUY;ZK;23;
2875762329;18/03/2024 18:25:22;BUY;RCMT;23;
2682413942;06/11/2024 17:04:01;BUY;ZK;23;
2787864582;28/05/2024 15:28:28;BUY;ACN;23;
2770671166;01/04/2024 16:02:18;BUY;RCMT;23;
2683912480;08/07/2024 17:06:45;BUY;HTGC;23;
2689239879;09/04/2024 15:12:40;BUY;TIMB;23;
2833505422;02/04/2024 15:19:54;BUY;AGO.l;23;
2606356945;02/04/2024 07:00:03;SELL;AGO.l;23;
2687708425;17/04/2024 13:32:24;SELL;TIMB;23;
2710597819;13/11/2024 15:48:25;SELL;ATHM;23;
2647315764;19/03/2024 14:45:52;SELL;RCMT;23;
2833435140;07/11/2024 14:32:48;SELL;ATHM;23;
2680993236;16/07/2024 14:02:06;SELL;PHVS;23;
2649376605;04/04/2024 14:08:03;SELL;RCMT;23;
2888710489;16/08/2024 17:44:39;SELL;HTGC;23;
2853633040;09/04/2024 19:10:33;SELL;TIMB;23;
2813637250;05/04/2024 07:00:04;SELL;AGO.l;23;
2640932226;14/10/2024 08:45:46;BUY;FNC;22;
2678625561;14/06/2024 14:01:37;BUY;FNC;22;
2643948564;06/12/2024 18:26:37;BUY;BRFS;22;
2875764394;16/02/2024 14:53:41;BUY;TIMB;22;
2645361900;24/01/2024 19:59:09;BUY;APP;22;
2626589992;24/01/2024 14:38:59;BUY;TIMB;22;
2711340256;04/01/2024 12:01:49;BUY;CAE;22;
2650900236;02/08/2024 09:50:20;BUY;FNC;22;
2667444792;05/02/2024 14:49:22;BUY;APP;22;
2699917911;19/12/2024 15:05:02;BUY;ACN;22;
2638191499;22/10/2024 19:02:40;BUY;INTC;22;
2639765317;10/10/2024 15:22:33;BUY;FNC;22;
2654090316;26/01/2024 17:19:22;BUY;APP;22;
2699908335;16/10/2024 13:32:44;BUY;INTC;22;
2775813999;21/08/2024 17:07:52;BUY;BRFS;22;
2698940671;25/01/2024 20:44:57;BUY;APP;22;
2608925601;13/03/2024 16:13:52;BUY;INTC;22;
